Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
"New Direction Health Care Solutions, Inc.",New Direction - Back to Basic Needs at Vaccine Clinics (The Period),$56583.00,436,3,24,378,143,173,3,111,342,250,366,2,3,0,2,12,66,275,262,0,43,39,60,45,61,8,52,71,64,25,52,39,37,54,14,75,52,55,19,45,27,64,1001,794,247,335,231,188,987,4,1,3,4,1,0,1,414,372,215,183,699,169,0,420,440,138,1,1,0,1
Next Step Initiative,Community Outreach Program,$26399.00,26,23,23,17,20,21,5,19,4,15,18,5,1,3,8,5,3,10,0,0,95,21,66,10,54,64,29,66,91,98,80,64,34,66,91,7,65,58,20,68,99,71,1317,121,640,73,442,162,318,633,107,128,30,56,40,5,871,436,10,265,708,222,122,918,372,6,20,0,0,1
Next Step Initiative,Trenches 2 Treatment / Community Outreach Program,$4511.00,97,42,22,4,71,12,7,82,85,7,3,8,8,8,5,6,7,22,83,0,2,84,86,99,20,61,9,24,78,59,79,80,15,5,11,6,39,73,15,47,26,83,1001,230,337,309,480,0,498,105,366,9,17,1,4,1,211,773,17,398,330,261,12,839,102,59,0,0,0,1
"Nourish Knoxville, Inc",Nourish Community: Locally Grown Produce for At-Risk Community Members,$51930.00,461,38,1,336,411,271,0,95,253,286,116,7,1,8,1,0,100,181,297,0,29,6,78,11,41,26,86,35,75,40,79,60,43,31,15,53,16,92,62,15,8,62,963,372,192,453,20,298,12,522,66,55,260,32,0,16,227,136,600,426,223,490,0,808,73,47,20,1,1,13
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),$62797.00,11,17,22,8,3,9,6,2,6,8,4,6,8,8,2,13,0,9,5,0,96,47,57,9,74,73,10,90,99,42,62,42,85,51,74,18,74,30,60,38,86,58,1275,906,181,606,141,347,205,27,545,43,4,207,215,29,281,636,358,107,165,960,43,516,507,234,9,8,0,1
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),$80066.00,259,41,12,30,20,127,3,130,235,57,240,6,0,1,0,2,70,7,96,0,89,7,50,37,0,18,9,88,0,80,25,74,8,73,8,19,4,16,59,42,19,39,764,658,351,94,20,299,3,413,238,58,7,1,23,21,364,111,289,152,66,323,223,350,93,195,111,3,5,7
Shora Foundation,Academic Center,$1393.00,37,40,20,26,28,10,6,33,16,21,12,5,2,7,3,15,12,17,6,0,64,6,0,91,78,79,56,64,25,52,20,39,2,86,6,14,0,62,81,59,39,60,983,6,128,484,43,328,244,659,57,19,2,0,0,2,689,223,71,298,371,603,0,778,81,106,16,0,1,1
Shora Foundation,Shora Foundation - Mental Health Division,$99701.00,425,48,5,65,344,31,7,228,85,317,78,6,0,7,1,18,39,381,279,0,75,70,72,73,26,14,50,60,65,54,29,33,62,56,43,30,97,37,39,63,6,23,1077,308,446,103,172,356,967,98,4,0,3,0,3,2,7,668,402,43,779,137,118,512,162,175,208,5,0,15
Shora Foundation,Shora Foundation Academic Center,$57156.00,315,33,15,100,215,180,3,68,297,95,49,9,1,0,7,6,1,19,5,0,54,31,69,42,2,28,30,39,38,48,13,99,77,54,27,84,28,59,40,40,92,11,1005,304,305,115,320,265,887,35,40,30,12,0,0,1,307,320,378,311,207,517,0,941,38,10,11,4,0,1
"Soar Youth Ministries, dba Thrive Lonsdale",Thrive Afterschool and Summer Program Providing Nutritious Meals and Academic Support,$40132.00,451,40,6,403,181,140,9,395,166,158,372,3,6,5,7,6,56,247,372,0,9,27,54,83,53,66,4,1,52,20,83,8,48,19,94,34,65,46,57,22,62,62,969,273,139,414,356,60,202,696,28,10,21,5,0,7,392,170,407,276,269,0,424,955,1,3,1,7,1,1
Solidarity Development and Light Association,Refugee family stabilization,$81391.00,254,19,8,127,249,77,3,37,25,251,127,1,3,5,5,9,89,251,127,0,57,70,0,53,97,50,19,16,95,91,85,41,52,35,69,6,60,90,11,59,14,45,1115,304,131,484,263,237,840,267,0,0,1,1,1,5,225,745,145,226,769,179,0,521,218,191,63,95,17,10
Spark,Spark A Journey,$73348.00,147,34,16,61,112,28,7,82,44,92,91,2,5,2,4,14,9,88,28,0,49,55,39,43,33,50,25,34,62,71,39,53,57,91,10,43,21,7,84,26,76,11,979,279,264,400,442,0,800,110,46,12,4,5,1,1,93,354,532,22,621,147,189,249,160,313,92,48,17,100
Susannah's House,Mothers in Recovery,$73781.00,26,0,7,21,23,2,2,25,13,17,24,9,8,2,1,1,11,3,18,0,11,37,95,4,72,94,55,3,45,55,93,92,24,63,54,85,24,26,50,9,23,69,1083,441,387,417,35,244,438,65,167,31,374,4,0,4,590,162,331,338,111,295,339,424,104,366,178,10,0,1
The Children's Center of Knoxville,Tuition Assistance for low-income/at risk families,$98862.00,335,24,16,285,7,60,5,124,247,152,220,7,8,3,0,8,24,97,290,0,65,44,62,57,36,22,2,91,26,47,48,99,5,5,81,35,82,12,76,9,90,99,1093,768,367,269,427,30,651,425,5,4,6,0,1,1,304,434,355,507,174,699,0,612,92,384,0,2,2,1
The Mend House Sober Living Community for Men,Healthy Living Through Sobriety,$63446.00,95,23,23,9,37,65,9,1,46,10,51,3,3,6,9,3,41,3,34,0,78,80,79,68,62,65,54,86,57,82,71,52,15,48,43,90,3,0,0,0,69,11,1113,928,62,389,374,288,802,156,117,1,17,3,11,6,929,13,171,149,511,513,0,1055,38,4,5,10,0,1
The Mend House Sober Living Community for Men,MEND(Mental & Emotional Needs Development),$47135.00,218,20,13,63,76,143,4,164,19,17,36,8,5,2,9,15,58,6,29,0,93,33,86,90,32,63,23,47,89,43,20,22,21,55,90,27,67,89,23,63,30,75,1181,1170,80,326,87,688,573,117,3,299,125,49,7,8,581,132,468,464,247,103,367,1117,63,0,0,0,0,1
"The Salvation Army, A Georgia Corporation",Emergency Assistance Program,$8511.00,12,40,18,0,9,5,6,11,4,8,0,2,6,5,9,14,4,10,10,0,14,21,3,77,97,72,71,48,53,33,49,2,8,17,66,66,33,71,54,39,60,38,992,444,70,175,18,729,105,721,144,20,1,0,0,1,926,15,51,224,618,186,0,449,239,200,33,35,2,34
Two Bikes,The Bike School,$20924.00,455,5,22,25,177,206,8,212,197,78,270,1,8,8,3,11,163,312,257,0,26,27,12,69,11,23,51,82,13,29,55,3,58,53,66,44,30,65,22,89,14,36,878,278,248,320,22,288,585,46,31,208,1,1,2,4,741,119,18,233,561,148,0,643,25,91,105,11,2,1
Wesley House Community Center,Wesley House Community Center’s expanding childcare and addressing food insecurity,$44710.00,417,32,21,282,94,177,8,60,173,162,266,7,6,0,1,17,111,252,79,0,0,99,27,12,83,73,13,36,92,59,67,58,34,31,22,42,56,87,24,47,72,62,1096,373,522,109,239,226,12,502,348,222,5,5,1,1,2,257,837,136,451,522,0,282,159,634,10,6,3,2
YWCA Knoxville and the Tennessee Valley,Phyllis Wheatley Center Emergency Needs Fund,$46279.00,340,43,22,232,257,60,3,282,0,54,157,3,7,9,7,11,68,25,95,0,80,2,87,53,18,12,39,61,70,47,87,28,31,33,66,77,57,30,67,78,79,0,1102,27,498,286,175,143,414,538,125,14,2,3,4,2,1035,61,6,120,318,449,215,1052,43,0,1,0,0,6
YWCA Knoxville and the Tennessee Valley,Onsite Mental Health Expansion,$37447.00,323,48,5,160,272,279,4,59,90,122,86,7,3,4,6,13,40,275,232,0,97,50,75,58,99,90,12,25,53,52,60,48,47,18,15,68,75,79,50,32,46,10,1159,964,229,85,21,824,239,230,243,371,71,2,2,1,303,355,501,144,440,136,439,205,395,490,20,26,11,12
