Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
Helen Ross McNabb Center,Elevate Recovery School Peer Group,$40095.00,204,36,11,22,105,41,9,65,33,133,111,9,9,0,7,12,57,79,31,0,93,53,9,66,98,14,72,25,45,78,38,67,29,33,71,72,84,55,32,94,16,69,1213,1054,435,484,171,123,522,277,154,30,66,79,43,42,1166,3,44,146,353,788,0,693,130,131,165,80,5,9
InterFaith Health Center,Expanded Mental Health Services for the Latinx Community & Other Underserved Groups,$32171.00,367,33,4,309,314,201,5,241,223,215,131,1,3,2,1,8,130,358,288,0,19,28,51,33,72,85,87,52,97,56,99,33,22,43,53,65,85,5,29,66,88,63,1231,111,606,442,590,0,701,95,285,113,24,2,8,3,957,80,194,270,523,335,103,1142,16,71,1,0,0,1
"Karate Five Association, Inc.","Fighting to Save Lives thru the Mental, Physical and Emotional Training Disciplines of Martial Arts",$33124.00,115,3,16,98,14,81,4,90,39,24,102,5,4,8,2,12,53,72,64,0,99,73,4,9,11,2,63,7,73,88,59,90,58,8,91,83,29,94,70,0,20,63,1094,421,163,10,529,392,667,256,70,56,3,36,3,3,909,100,85,245,744,317,0,724,22,81,94,164,2,7
"Karate Five Association, Inc.","Fighting to Save Lives through the Mental, Physical and Emotional Training Disciplines",$16730.00,40,43,2,39,7,12,1,14,37,11,39,3,9,6,1,9,9,16,25,0,85,89,27,86,40,42,19,44,23,89,68,95,72,45,5,22,34,24,11,54,98,27,1099,818,170,449,254,226,668,269,19,1,115,1,4,22,455,556,88,498,232,819,0,382,245,110,209,123,5,25
Knox County Schools PTA Clothing Center,KNOX COUNTY SCHOOLS CLOTHING CENTER PTA,$93996.00,156,8,23,94,7,41,6,93,84,117,142,3,7,9,1,9,59,9,140,0,85,25,34,91,21,89,12,49,29,99,31,97,95,74,6,62,34,47,99,90,17,54,1240,92,317,615,338,0,703,163,366,2,5,0,0,1,136,687,417,67,117,39,1017,780,406,28,10,7,8,1
Knoxville - Knox County CAC,Homeward Bound Rental Assistance Program,$48684.00,381,11,2,352,197,52,9,17,282,248,335,4,0,0,0,5,150,134,67,0,45,42,31,49,35,92,76,26,83,12,90,9,28,31,64,0,56,90,98,78,28,61,1124,816,1,197,252,674,634,321,18,64,56,22,4,5,3,244,877,9,374,555,186,857,241,19,6,0,0,1
Knoxville - Knox County Community Action Committee for Affordable Neighborhoods - CAAN,Nutritional Supplements for At-Risk Older Adults,$96011.00,163,42,4,67,92,104,7,32,36,82,51,8,1,3,1,7,54,54,57,0,80,9,40,18,46,27,61,6,50,55,39,46,62,33,64,75,35,35,7,88,51,87,1014,149,60,401,470,83,726,260,20,3,3,1,0,1,455,529,30,56,802,82,74,600,244,49,33,73,11,4
Knoxville Internationals Network-KIN,ELL Summer Camp,$48996.00,455,12,19,0,181,430,4,268,124,46,356,9,7,6,3,0,180,98,261,0,41,84,32,7,16,4,61,36,24,85,48,12,31,85,39,49,33,33,67,65,51,84,987,364,218,234,216,319,50,447,115,293,1,0,72,9,284,453,250,272,80,110,525,190,222,538,16,16,1,4
Knoxville Leadership Foundation,Compassion Coalition - Gap Needs,$52105.00,250,21,10,215,244,165,0,1,134,237,129,1,0,2,3,13,106,2,112,0,74,52,26,0,78,58,12,84,92,9,50,95,16,97,81,65,33,15,94,29,54,86,1200,359,451,154,468,127,1191,8,0,0,0,0,0,1,285,836,79,33,948,151,68,841,190,46,14,76,5,28
Legal Aid of East Tennessee,Mental Health Law Partnership,$44535.00,315,4,12,185,260,95,0,191,140,45,30,9,0,0,6,18,73,236,173,0,96,97,46,96,25,48,20,20,69,35,82,40,49,21,78,38,58,5,13,88,96,30,1150,1051,321,499,138,192,279,622,74,43,61,63,0,8,186,653,311,346,174,880,0,983,35,84,23,3,16,6
Legal Aid of East Tennessee,Housing Stability for Low-Income Knoxvillians,$93256.00,42,34,14,39,23,15,7,2,38,18,14,5,2,3,6,19,8,29,26,0,35,34,87,60,62,34,4,61,30,25,94,91,10,85,27,76,40,13,95,57,71,76,1167,711,305,139,344,379,3,774,296,16,49,19,0,10,57,575,535,191,422,549,5,444,401,223,38,40,17,4
Little Oaks Academy,Little Oaks Academy Tuition Scholarship,$41817.00,201,35,22,159,16,39,7,33,137,124,27,2,2,6,4,10,23,168,147,0,28,81,78,66,36,55,12,79,74,55,34,72,92,69,98,69,91,87,69,27,38,6,1316,783,325,591,429,0,545,230,468,33,32,5,0,3,544,627,145,317,990,176,0,1274,33,7,1,0,0,1
Mental Health Association of East Tennessee,Treatment Access Bank,$57166.00,179,33,15,90,46,47,4,52,64,18,133,6,0,3,5,19,25,108,117,0,80,99,39,19,85,45,11,39,40,40,73,86,22,46,93,69,85,29,22,79,88,49,1238,799,483,549,523,0,900,62,221,54,0,0,0,1,848,110,280,351,113,437,337,584,368,3,249,14,7,13
Mental Health Association of East Tennessee,Mental Health Association of East Tennessee: Treatment Access Bank,$10262.00,20,11,19,11,14,10,5,12,5,6,16,2,7,0,6,11,7,2,0,0,5,16,86,28,80,9,30,83,69,76,18,47,57,1,33,39,18,31,7,51,56,38,878,323,212,280,245,141,156,194,301,19,124,3,73,8,801,1,76,339,215,176,148,390,397,13,63,4,0,11
Metro Drug Coalition,Metro Drug Coalition Recovery Housing Fund,$62919.00,317,17,10,41,113,160,8,26,288,159,260,1,9,0,7,3,112,264,149,0,39,84,41,56,89,73,15,92,42,45,92,64,51,14,42,9,30,50,21,91,29,40,1109,338,413,422,313,0,814,187,30,24,50,2,1,1,453,142,514,429,499,414,0,860,231,12,0,5,0,1
"My Daughters Journey, Inc.",Diamondz in the Rough Mentoring and Leadership Academy for Justice Involved and Homeless Youth,$69319.00,215,30,11,121,112,55,5,180,68,22,11,2,0,8,3,10,42,126,168,0,34,35,95,80,43,9,42,41,60,91,54,88,72,56,53,46,57,72,59,50,75,47,1259,1223,180,376,508,195,1247,10,1,0,0,0,0,1,1079,124,56,167,860,51,181,980,87,182,3,6,0,1
"My Daughters Journey, Inc.",Diamondz in the Rough Mentoring and Leadership Academy Community Behavioral Initiative,$27532.00,138,22,15,119,109,70,7,96,99,5,100,9,2,4,9,14,53,75,82,0,70,10,81,1,59,16,10,52,51,20,0,29,74,44,65,99,14,83,66,26,29,96,995,328,72,236,179,508,114,70,587,24,168,16,7,9,526,109,360,330,362,229,74,458,1,388,63,33,30,22
"My Daughters Journey, Inc.",My Daughters Journey Family Advocacy Program,$41756.00,129,9,6,39,44,41,5,123,107,27,24,0,3,0,2,13,20,78,65,0,19,94,93,20,21,40,87,52,80,26,7,98,33,57,23,94,52,19,35,70,60,98,1178,358,576,543,306,0,562,218,319,61,2,15,0,1,477,285,416,451,368,331,28,324,586,223,8,7,15,15
"New Direction Health Care Solutions, Inc.",New Direction - Dealing With Loneliness and the Mental Health Implications,$1585.00,369,40,21,155,248,282,3,254,266,297,171,6,2,0,0,17,15,221,150,0,27,40,34,2,83,7,37,9,75,51,10,50,68,51,24,60,21,68,40,12,27,29,825,771,183,276,261,105,569,67,142,23,17,3,1,3,671,118,36,18,535,22,250,305,120,331,12,36,6,15
"New Direction Health Care Solutions, Inc.",New Direction - Back to Basic Needs at Vaccine Clinics (The Period),$65273.00,206,47,2,151,204,69,2,24,90,205,61,6,1,1,2,19,90,51,39,0,27,72,83,92,37,58,76,35,95,90,61,39,48,86,71,41,95,20,84,79,8,32,1329,794,396,535,618,0,1108,11,47,97,41,24,0,1,440,533,356,500,135,13,681,891,139,202,83,3,1,10
Next Step Initiative,Community Outreach Program,$90702.00,350,41,4,241,221,308,3,73,230,272,198,4,3,2,0,4,80,90,39,0,75,2,94,93,86,72,91,36,73,26,73,6,44,7,73,68,66,44,97,6,96,57,1285,148,475,261,30,519,1185,26,30,33,7,2,1,1,183,687,415,119,505,326,335,259,466,358,107,53,20,22
Next Step Initiative,Trenches 2 Treatment / Community Outreach Program,$48375.00,248,48,17,95,137,178,0,244,215,193,93,5,4,5,4,0,89,133,20,0,38,91,65,29,84,9,47,27,57,41,37,49,98,70,83,22,64,64,77,56,58,26,1192,282,227,488,480,0,772,93,62,158,11,72,22,2,847,33,312,465,55,971,0,902,273,15,0,1,0,1
"Nourish Knoxville, Inc",Nourish Community: Locally Grown Produce for At-Risk Community Members,$96951.00,205,5,21,79,155,177,5,41,117,88,143,3,0,6,9,13,67,67,88,0,82,41,69,26,52,60,59,62,55,36,11,28,55,78,95,42,8,37,94,31,39,97,1157,365,565,573,251,0,795,318,17,15,2,0,4,6,20,1101,36,246,551,163,197,500,373,44,163,75,0,2
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),$41279.00,308,3,13,239,272,232,9,92,119,57,62,0,1,1,1,16,66,151,203,0,94,25,62,34,88,96,82,65,98,62,59,12,3,78,33,11,80,39,16,64,88,41,1230,676,468,129,459,174,1203,14,9,0,0,0,0,4,825,318,87,86,641,394,109,528,489,114,42,7,46,4
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),$95229.00,132,24,15,116,96,86,1,78,72,57,9,8,3,1,1,5,58,73,37,0,34,37,67,10,21,10,76,36,95,65,77,93,16,10,53,11,44,12,56,65,0,48,936,481,406,439,254,0,597,248,45,16,3,3,12,12,488,143,305,410,389,186,0,881,42,6,0,4,1,2
Shora Foundation,Academic Center,$58745.00,360,33,13,97,31,201,1,326,52,30,94,5,8,5,0,3,178,298,183,0,66,82,88,48,94,64,50,48,80,49,42,23,97,21,83,73,55,96,4,48,74,45,1330,1137,35,534,512,249,630,236,183,234,35,5,1,6,1043,34,253,296,118,556,360,897,335,0,21,3,14,60
Shora Foundation,Shora Foundation - Mental Health Division,$33523.00,124,20,11,108,80,66,9,0,5,108,47,3,6,7,9,7,24,46,58,0,25,43,35,51,89,94,48,52,22,93,88,3,64,62,56,55,86,25,0,51,76,37,1155,491,528,155,129,343,989,128,26,4,1,5,0,2,957,10,188,242,73,471,369,568,446,61,79,0,0,1
Shora Foundation,Shora Foundation Academic Center,$40315.00,148,23,21,107,90,108,0,21,44,106,114,0,2,4,9,2,24,1,133,0,61,40,23,86,34,45,41,42,30,30,91,35,61,17,5,92,74,88,85,85,41,39,1145,128,192,545,19,389,810,277,16,23,13,1,3,2,773,134,238,96,476,64,509,685,118,320,9,12,0,1
"Soar Youth Ministries, dba Thrive Lonsdale",Thrive Afterschool and Summer Program Providing Nutritious Meals and Academic Support,$14680.00,482,34,11,220,265,474,5,381,150,134,479,8,8,0,8,0,16,219,169,0,60,51,20,34,84,3,9,67,76,41,23,67,26,5,29,52,66,58,36,79,85,45,1016,263,458,385,421,0,588,181,233,13,0,0,0,1,542,321,153,390,550,261,0,710,7,217,22,30,15,15
Solidarity Development and Light Association,Refugee family stabilization,$37492.00,244,6,16,156,180,186,3,205,173,116,118,4,9,4,1,4,84,176,141,0,80,82,88,83,55,3,38,87,74,4,70,22,81,62,80,59,99,6,6,36,53,10,1178,742,508,369,326,0,170,558,293,122,34,0,0,1,736,76,366,283,120,514,261,155,222,369,38,207,8,179
Spark,Spark A Journey,$92108.00,453,7,20,264,160,50,3,118,143,309,374,2,6,5,9,8,177,92,377,0,11,16,15,70,43,12,98,98,80,34,68,2,99,62,35,67,76,64,30,80,38,34,1132,859,374,57,163,538,349,257,497,14,12,2,0,1,545,479,108,323,743,100,0,248,9,94,551,148,38,44
Susannah's House,Mothers in Recovery,$91847.00,94,28,0,25,69,84,3,59,7,12,58,4,7,5,4,8,5,16,62,0,76,18,65,82,9,40,75,27,39,26,76,64,43,72,55,58,24,80,70,22,19,70,1110,531,195,190,168,557,989,60,32,20,6,2,0,1,124,917,69,67,910,40,93,1051,37,5,10,3,1,3
The Children's Center of Knoxville,Tuition Assistance for low-income/at risk families,$77430.00,119,28,10,75,76,53,3,118,96,27,110,7,4,8,8,3,19,30,18,0,84,47,57,16,48,23,43,30,62,49,58,6,62,23,33,59,42,54,56,29,51,50,982,980,358,158,195,271,53,390,324,13,117,5,19,61,318,455,209,141,22,863,0,463,106,364,48,0,0,1
The Mend House Sober Living Community for Men,Healthy Living Through Sobriety,$65856.00,306,36,14,275,32,0,5,283,179,305,142,0,5,7,4,17,120,100,75,0,93,31,96,54,23,72,79,74,41,94,90,52,24,15,41,19,98,21,60,29,32,58,1196,1009,367,531,482,0,1101,67,6,20,1,0,0,1,1161,4,31,85,124,880,107,1172,0,21,1,0,0,2
The Mend House Sober Living Community for Men,MEND(Mental & Emotional Needs Development),$49499.00,123,0,7,12,96,99,8,85,74,100,113,7,0,6,7,11,37,77,94,0,38,17,31,15,87,74,56,72,84,79,51,95,15,71,14,8,96,84,43,33,91,34,1188,927,376,199,386,227,302,801,46,31,2,1,0,5,771,50,367,384,133,867,0,351,776,26,27,1,5,2
"The Salvation Army, A Georgia Corporation",Emergency Assistance Program,$89359.00,15,17,15,11,12,8,2,0,4,8,13,0,0,3,6,3,3,8,10,0,56,71,34,47,68,83,58,87,38,39,11,38,68,96,53,53,39,31,32,82,8,53,1145,460,507,261,306,71,758,200,103,13,70,0,0,1,364,322,459,497,169,739,0,16,647,199,213,25,30,15
Two Bikes,The Bike School,$42903.00,94,46,2,42,44,2,4,85,36,85,36,5,5,0,9,13,41,8,81,0,91,0,56,73,39,46,37,29,40,32,74,5,90,71,20,93,80,95,60,64,63,55,1213,936,12,241,559,401,444,594,167,6,0,0,1,1,222,573,418,13,61,1036,103,351,774,55,3,1,11,18
Wesley House Community Center,Wesley House Community Center’s expanding childcare and addressing food insecurity,$2753.00,288,15,12,242,211,57,3,170,265,112,15,6,6,3,2,11,21,83,138,0,69,19,47,26,48,51,66,26,54,46,98,57,35,74,50,55,65,54,66,11,55,37,1109,1004,464,368,235,42,1101,3,4,0,0,0,0,1,617,415,77,206,897,179,0,215,385,332,71,8,12,86
YWCA Knoxville and the Tennessee Valley,Phyllis Wheatley Center Emergency Needs Fund,$28000.00,197,33,23,126,192,40,7,175,33,49,172,4,7,5,7,16,67,21,96,0,44,59,97,66,94,2,92,67,98,96,20,11,65,40,71,5,76,41,80,22,27,32,1205,683,428,255,171,351,479,706,1,9,1,2,6,1,725,318,162,398,555,410,0,657,340,184,14,5,3,2
YWCA Knoxville and the Tennessee Valley,Onsite Mental Health Expansion,$31553.00,371,24,8,71,286,279,7,236,315,295,40,9,8,3,2,15,84,176,256,0,34,66,82,43,66,71,68,57,50,97,91,49,72,25,95,14,7,38,52,91,86,31,1285,816,324,229,150,582,49,1102,50,72,1,10,0,1,1150,0,135,292,987,163,0,881,116,112,62,2,77,35
