Organization Name,Project Name,Amount Awarded,Clients Served,Jobs Created,Partners,Food Assistance,Food Knowledge and Skills,Access to Healthy Foods,Producer Support,Clothing Assistance,Hygiene Assistance,Health Care Assistance,Mental Health Assistance,Child Care BirthPreK,Child Care BirthPreK Hours,Child Care School Age,Child Care SchoolAged Hours,Subsidies or Scholarships,Rental Assistance,Utility Assistance,Other Assistance,Attraction and Retention,Corryton 37721,Farragut 37934,Heiskell 37754,Knoxville 37938,Knoxville 37902,Knoxville 37909,Knoxville 37912,Knoxville 37914,Knoxville 37915,Knoxville 37916,Knoxville 37917,Knoxville 37918,Knoxville 37919,Knoxville 37920,Knoxville 37921,Knoxville 37922,Knoxville 37923,Knoxville 37924,Knoxville 37931,Knoxville 37932,Powell 37849,Mascot 37806,People Served  Full Grant Reporting Period,Number of People Served No Previous Access,Female,Male,Other Sex,Unknown Sex,White,Black or African American,Asian American,American Indian or Alaska Native,Native Hawaiian and Pacific Islander,Two or More Races,Other Designation,Race Unknown,Hispanic or Latino,Not Hispanic or Latino,Unknown Ethnicity,Below Poverty Level 100 and below of poverty based on size of family unit,Low Income 101200 of poverty based on size of family unit,Above Low Income 201 and above based on size of family unit,Income Unknown,Under Five,Five  Seventeen,Eighteen  TwentyFour,TwentyFive  FortyFour,FortyFive  SixtyFour,SixtyFive  Over,Age Unknown
Helen Ross McNabb Center,Elevate Recovery School Peer Group,$6431.00,450,44,9,447,258,278,8,94,281,104,201,5,6,2,2,12,0,299,203,0,36,68,17,68,43,43,74,7,1,37,27,14,67,12,64,1,69,88,36,60,0,90,922,758,381,183,31,327,406,356,93,6,18,32,8,3,891,16,15,433,312,196,0,725,150,21,15,10,0,1
InterFaith Health Center,Expanded Mental Health Services for the Latinx Community & Other Underserved Groups,$21329.00,164,45,11,42,97,115,2,127,0,24,141,9,2,0,4,18,47,55,125,0,63,53,29,94,39,62,97,7,86,17,9,82,40,46,16,62,65,16,39,93,76,3,1094,469,378,205,385,126,942,91,46,2,7,4,0,2,97,627,370,418,421,338,0,685,160,130,29,38,46,6
"Karate Five Association, Inc.","Fighting to Save Lives thru the Mental, Physical and Emotional Training Disciplines of Martial Arts",$69285.00,68,15,8,40,36,5,3,1,22,38,6,7,2,8,1,3,31,55,39,0,88,82,85,1,85,91,39,84,34,0,65,14,43,43,67,19,61,46,11,52,42,87,1139,634,525,61,531,22,780,86,18,239,8,0,7,1,179,902,58,179,202,791,0,1011,94,25,8,0,0,1
"Karate Five Association, Inc.","Fighting to Save Lives through the Mental, Physical and Emotional Training Disciplines",$8357.00,45,9,23,16,25,14,9,2,10,40,0,5,4,4,1,5,22,7,25,0,94,56,99,73,44,90,83,2,38,66,14,90,12,77,12,57,61,37,35,36,84,78,1238,531,29,233,29,947,158,663,124,274,0,6,6,7,128,93,1017,385,724,437,0,711,329,133,10,54,0,1
Knox County Schools PTA Clothing Center,KNOX COUNTY SCHOOLS CLOTHING CENTER PTA,$37634.00,141,34,23,50,92,16,6,44,94,51,42,0,6,6,0,11,57,69,50,0,70,86,10,99,81,69,44,80,83,93,87,75,80,18,51,98,91,30,83,0,64,72,1464,393,523,417,565,0,734,534,150,14,27,0,1,4,597,423,444,440,596,183,245,983,135,175,44,57,48,22
Knoxville - Knox County CAC,Homeward Bound Rental Assistance Program,$1923.00,155,48,21,121,97,61,5,43,100,43,47,5,0,3,0,8,58,83,139,0,93,88,82,50,18,33,18,53,34,99,12,81,69,5,45,0,53,27,50,68,44,9,1031,957,147,483,477,0,493,534,3,0,0,0,0,1,703,250,78,399,392,213,27,448,125,123,235,79,17,4
Knoxville - Knox County Community Action Committee for Affordable Neighborhoods - CAAN,Nutritional Supplements for At-Risk Older Adults,$69777.00,59,1,0,6,23,14,7,50,7,4,52,9,1,6,4,8,26,48,27,0,3,88,58,62,40,91,95,54,55,76,30,19,84,58,20,72,92,73,38,44,88,50,1290,602,303,124,112,751,123,355,449,160,38,102,16,47,1194,46,50,407,590,478,0,577,654,29,9,2,18,1
Knoxville Internationals Network-KIN,ELL Summer Camp,$4570.00,83,47,12,70,51,37,2,27,56,37,47,9,4,1,5,1,26,0,57,0,78,48,28,13,24,51,50,60,16,42,36,68,45,32,45,50,62,37,84,58,55,83,1065,293,46,517,407,95,484,500,7,44,23,0,0,7,705,174,186,177,239,561,88,275,752,9,22,2,2,3
Knoxville Leadership Foundation,Compassion Coalition - Gap Needs,$81482.00,270,36,4,19,220,45,6,6,128,126,243,8,3,4,3,2,100,12,231,0,56,27,15,34,29,17,97,81,73,7,37,16,85,52,52,29,86,35,91,12,3,30,964,839,21,389,331,223,72,340,376,129,36,7,0,4,662,48,254,346,13,712,0,414,24,276,5,168,24,53
Legal Aid of East Tennessee,Mental Health Law Partnership,$85578.00,229,38,24,56,188,226,4,205,154,57,219,3,5,9,2,14,21,175,158,0,57,55,69,26,59,33,36,8,32,95,64,50,89,68,5,4,41,2,24,30,11,58,916,611,137,139,45,595,875,21,15,2,0,0,1,2,351,389,176,328,507,105,0,438,407,13,28,25,3,2
Legal Aid of East Tennessee,Housing Stability for Low-Income Knoxvillians,$74051.00,170,26,2,143,77,62,8,47,38,71,84,0,8,1,3,8,65,67,144,0,84,97,85,6,5,90,24,15,52,80,74,78,93,34,24,53,27,25,6,22,68,45,1087,878,104,464,81,438,634,372,78,2,0,0,0,1,556,32,499,104,909,27,47,148,889,42,6,0,0,2
Little Oaks Academy,Little Oaks Academy Tuition Scholarship,$85247.00,426,22,10,101,281,76,8,293,228,410,112,6,4,8,6,3,167,284,370,0,44,89,92,90,47,26,55,61,54,87,90,48,76,86,90,1,94,65,71,15,74,29,1384,365,608,593,524,0,969,183,225,5,1,0,0,1,338,989,57,667,157,1219,0,286,451,494,6,28,15,104
Mental Health Association of East Tennessee,Treatment Access Bank,$62233.00,66,1,13,19,51,14,1,23,7,10,17,2,0,4,3,10,31,29,4,0,90,27,13,84,26,47,46,8,34,45,89,41,53,2,85,88,69,54,92,8,57,81,1139,446,61,1,405,672,247,86,58,217,112,116,92,211,62,266,811,549,434,0,156,730,15,101,242,7,4,40
Mental Health Association of East Tennessee,Mental Health Association of East Tennessee: Treatment Access Bank,$36468.00,386,15,8,131,327,201,5,28,283,168,96,6,5,6,1,19,59,187,252,0,13,87,75,54,27,68,19,71,24,90,26,23,78,66,25,99,39,34,65,26,9,81,1099,552,140,482,526,0,540,356,53,141,0,1,3,5,119,822,158,423,531,521,0,437,29,515,63,51,2,2
Metro Drug Coalition,Metro Drug Coalition Recovery Housing Fund,$23090.00,410,4,22,299,112,383,1,174,181,321,48,8,7,3,1,18,194,337,158,0,5,86,66,25,32,77,49,53,86,56,62,99,82,16,80,77,94,80,64,66,82,66,1403,1264,224,476,295,408,781,486,63,4,54,4,7,4,819,455,129,599,104,275,425,1350,0,42,6,0,3,2
"My Daughters Journey, Inc.",Diamondz in the Rough Mentoring and Leadership Academy for Justice Involved and Homeless Youth,$50235.00,372,11,16,285,49,321,0,221,313,131,144,3,2,1,6,7,85,169,75,0,95,79,30,30,90,28,66,96,69,84,40,71,71,13,49,16,12,97,10,93,47,87,1273,926,275,604,224,170,354,491,34,101,7,31,123,132,857,283,133,76,895,12,290,772,54,208,77,103,43,16
"My Daughters Journey, Inc.",Diamondz in the Rough Mentoring and Leadership Academy Community Behavioral Initiative,$30973.00,25,11,20,22,2,23,6,1,21,20,15,7,8,9,7,9,8,15,7,0,76,19,31,2,88,17,74,59,66,43,33,12,95,92,23,66,50,94,3,70,0,63,1076,104,360,279,503,0,251,570,71,19,36,61,3,65,425,258,393,124,327,720,0,39,711,56,160,10,22,78
"My Daughters Journey, Inc.",My Daughters Journey Family Advocacy Program,$3616.00,63,14,1,20,15,30,6,6,45,38,39,1,1,4,8,1,5,23,53,0,91,71,43,71,44,37,18,81,65,6,93,42,30,84,2,73,76,41,90,10,7,35,1110,1015,355,553,152,50,918,4,128,40,16,0,3,1,679,277,154,93,445,409,163,749,269,4,20,26,32,10
"New Direction Health Care Solutions, Inc.",New Direction - Dealing With Loneliness and the Mental Health Implications,$70096.00,83,7,11,2,7,54,3,67,28,75,49,9,7,2,1,12,18,37,38,0,21,12,83,30,17,49,37,21,39,40,3,42,11,58,47,43,48,70,90,78,56,48,943,704,110,8,337,488,166,746,22,2,5,1,0,1,927,14,2,87,91,828,0,64,100,270,29,201,3,276
"New Direction Health Care Solutions, Inc.",New Direction - Back to Basic Needs at Vaccine Clinics (The Period),$78385.00,475,48,15,238,111,156,2,266,143,418,454,9,6,8,0,1,141,182,419,0,38,96,87,1,41,47,26,60,31,66,93,32,84,89,71,23,27,12,86,38,76,64,1188,958,312,228,538,110,239,861,79,6,2,0,0,1,623,313,252,398,389,632,0,1148,31,2,1,3,0,3
Next Step Initiative,Community Outreach Program,$67315.00,465,25,14,422,443,34,3,248,0,357,95,4,3,4,4,12,203,16,234,0,92,85,69,86,16,56,97,38,42,20,68,37,75,80,47,77,69,21,14,3,14,84,1190,150,11,280,519,380,327,161,559,117,4,5,2,15,1086,71,33,524,66,227,373,38,1061,4,53,0,13,21
Next Step Initiative,Trenches 2 Treatment / Community Outreach Program,$22041.00,131,16,10,88,126,115,6,125,126,37,75,9,5,9,3,5,9,91,35,0,4,68,45,94,70,74,0,50,34,66,17,14,63,7,10,11,86,22,26,44,62,69,936,657,364,130,13,429,384,238,244,56,3,3,3,5,314,548,74,427,62,40,407,315,111,498,7,3,1,1
"Nourish Knoxville, Inc",Nourish Community: Locally Grown Produce for At-Risk Community Members,$22535.00,368,40,24,153,219,301,9,242,341,154,249,7,8,2,2,19,95,44,304,0,74,61,73,12,63,85,84,76,15,98,49,73,2,5,16,62,94,26,35,93,11,79,1186,956,15,173,171,827,450,257,272,6,43,41,62,55,461,323,402,127,190,158,711,265,733,185,1,0,0,2
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),$52783.00,116,33,24,39,107,4,2,9,50,69,68,7,1,9,4,11,24,47,87,0,89,66,43,46,98,8,49,40,70,21,12,3,72,55,42,24,0,78,33,29,49,50,977,571,247,61,365,304,924,26,10,16,0,0,0,1,372,19,586,282,339,571,0,391,93,132,78,229,2,52
"Senior Citizens Home Assistance Service, Inc (SCHAS)",SCHAS Out Shopping (SOS),$38341.00,44,46,19,38,35,42,1,7,36,17,12,5,1,8,5,18,14,39,6,0,8,92,31,1,25,19,38,15,76,40,84,29,19,79,98,78,72,1,24,46,74,24,973,289,132,280,88,473,160,536,196,59,20,0,1,1,350,159,464,213,453,85,222,166,377,409,10,0,7,4
Shora Foundation,Academic Center,$19350.00,102,32,8,78,91,70,1,53,6,24,18,8,2,7,9,10,13,33,46,0,42,20,66,14,0,23,27,34,31,36,63,10,42,85,95,5,6,12,65,37,97,33,843,806,185,132,291,235,415,362,24,28,10,3,0,1,271,253,319,214,535,87,7,652,96,30,10,8,33,14
Shora Foundation,Shora Foundation - Mental Health Division,$43089.00,265,14,3,249,228,61,0,161,131,253,258,3,4,1,2,6,124,119,44,0,98,5,10,47,7,53,57,66,47,84,87,98,76,85,59,88,46,20,98,81,72,81,1365,568,586,631,619,0,1287,70,1,0,0,1,2,4,952,217,196,317,926,226,0,825,48,75,10,269,99,39
Shora Foundation,Shora Foundation Academic Center,$21482.00,8,1,12,7,0,0,4,2,2,6,6,7,5,8,0,2,1,7,6,0,27,99,82,4,63,64,92,37,27,45,65,70,97,16,20,14,23,70,97,8,55,39,1114,240,49,288,351,426,499,103,35,290,90,0,76,21,1086,1,27,308,608,421,0,131,5,487,374,15,18,84
"Soar Youth Ministries, dba Thrive Lonsdale",Thrive Afterschool and Summer Program Providing Nutritious Meals and Academic Support,$7231.00,346,36,22,31,344,142,0,328,179,268,183,2,8,6,1,3,24,78,310,0,5,81,82,47,26,57,8,65,80,60,79,0,75,2,37,94,76,46,69,62,75,42,1168,131,299,327,397,145,1009,62,26,23,17,23,4,4,637,28,503,280,204,465,219,713,51,19,360,9,4,12
Solidarity Development and Light Association,Refugee family stabilization,$62184.00,451,33,20,69,129,12,2,450,261,307,444,2,1,4,9,6,189,249,144,0,85,50,93,97,88,89,11,41,48,4,64,11,11,61,84,42,5,47,99,58,34,26,1148,18,131,237,8,772,613,281,75,33,132,7,5,2,195,450,503,378,365,754,0,772,299,10,64,0,1,2
Spark,Spark A Journey,$42272.00,311,49,14,266,149,78,2,42,263,199,254,4,3,1,4,9,114,83,26,0,97,23,4,50,73,80,61,91,46,9,38,19,42,60,48,80,62,98,27,72,23,96,1199,30,209,526,355,109,906,216,53,22,1,0,0,1,97,975,127,367,470,721,0,22,57,766,318,19,8,9
Susannah's House,Mothers in Recovery,$94788.00,228,34,22,194,59,14,3,70,144,153,7,6,6,2,6,3,45,135,216,0,74,71,58,5,79,30,58,57,75,31,73,89,25,35,45,72,55,83,7,93,97,45,1257,1171,88,158,493,518,1249,4,3,0,0,0,0,1,103,1046,108,340,154,282,481,1154,39,35,15,3,10,1
The Children's Center of Knoxville,Tuition Assistance for low-income/at risk families,$30686.00,151,24,19,147,142,145,1,121,140,47,118,0,3,6,9,2,72,148,76,0,58,92,33,50,30,81,85,15,21,49,64,28,85,50,99,82,13,61,93,95,36,5,1225,1119,402,570,479,0,1146,6,13,23,31,3,0,3,184,656,385,315,783,73,54,880,258,17,67,2,0,1
The Mend House Sober Living Community for Men,Healthy Living Through Sobriety,$99284.00,81,27,24,65,65,71,7,75,60,24,39,1,8,0,9,5,5,35,23,0,61,85,50,15,56,58,55,58,31,71,11,84,67,65,10,69,90,99,37,34,68,91,1265,1166,463,40,308,454,597,542,16,95,12,2,0,1,615,70,580,40,991,52,182,411,515,38,184,0,26,91
The Mend House Sober Living Community for Men,MEND(Mental & Emotional Needs Development),$62653.00,488,9,4,206,149,228,2,21,454,88,51,3,5,9,6,2,156,149,201,0,37,88,49,37,92,94,66,72,38,2,31,96,51,97,7,54,15,0,58,79,14,95,1172,438,498,123,106,445,535,185,257,100,1,63,4,27,670,130,372,383,649,497,0,719,278,40,14,62,15,44
"The Salvation Army, A Georgia Corporation",Emergency Assistance Program,$16918.00,92,20,2,25,55,52,1,22,63,2,66,2,3,6,7,3,5,85,70,0,56,89,73,17,63,1,71,24,40,76,2,7,55,25,99,28,22,76,18,93,16,31,982,128,270,78,120,514,725,31,0,104,22,49,17,34,669,268,45,333,231,619,0,675,128,160,1,15,0,3
Two Bikes,The Bike School,$39039.00,353,6,16,321,37,48,2,281,238,65,126,7,2,0,6,13,45,38,237,0,79,96,28,30,82,80,62,52,27,95,57,56,95,17,37,83,33,64,41,0,49,21,1184,244,55,373,362,394,196,832,126,8,16,3,0,3,360,163,661,319,769,123,0,154,234,364,314,3,113,2
Wesley House Community Center,Wesley House Community Center’s expanding childcare and addressing food insecurity,$97878.00,419,9,11,138,340,10,5,205,271,11,156,0,7,1,1,14,46,5,218,0,41,56,21,48,74,25,70,84,26,33,4,72,36,19,75,54,57,79,72,38,12,62,1058,605,217,15,189,637,220,611,130,58,13,5,13,8,688,87,283,452,69,30,507,742,219,39,34,15,3,6
YWCA Knoxville and the Tennessee Valley,Phyllis Wheatley Center Emergency Needs Fund,$6315.00,345,42,21,316,160,182,3,0,300,188,166,6,8,2,8,7,103,34,221,0,27,45,98,55,90,81,44,56,52,8,94,56,14,29,94,75,38,34,27,33,0,96,1146,457,432,392,387,0,16,661,6,203,140,108,3,9,1054,70,22,180,530,544,0,557,217,179,95,24,54,20
YWCA Knoxville and the Tennessee Valley,Onsite Mental Health Expansion,$82645.00,47,43,14,3,5,33,2,7,6,16,42,2,9,8,8,0,7,22,25,0,98,75,56,50,66,23,17,67,62,73,70,96,65,9,44,64,25,39,92,2,72,92,1257,291,572,474,252,0,633,542,1,75,5,0,0,1,371,64,822,221,820,258,0,231,536,8,10,84,11,377
